Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
SHE MAY BE NAKED	7	6	4	5	3	3	15	4	5	8	12	9	6	11	10	9	9	7	4	8	5	12	9	4	5	3	8	2	4	14	4	10	37	3	12	4	16	1	8	9	23	6	23	6	6	4	2	3	5	6	3	1	3	3	2	5	12	4	3	6	16	9	4	12	30	17	8	9	8	10	5	2	5	5	6	1	16	10	2	6	4	4	3	28	2	0	11	9	16	2	4	8	2	0	5	6	0	2	1	0	0	2	7	2	6	4	6	0	11	7	6	3	6	8	0	3	9	2	4	12	4	2	4	4	7	3	8	12	9	1	7	8	4	5	5	3	3	3	3	7	7	6	6	11	0	5	13	5	9	7	3	4	6	1	1	13	12	4	11	1	1	2	1	11	2	1	2	13	1	3	8	7	9	2	7	4	3	1	10	9	7	3	2	2	16	2	6	1	2	10	9	2	4	5	5	0	0	2	2	3	1	6	9	5	1	5	9	1	2	2	2	4	3	1	1	5	11	1	6	2	6	2	11	3	12	5	14	4	4	6	7	5	3	0	4	0	3	1	3	0	6	9	1	6	3	2	9	1	6	12	1	2	1	4	5	5	3	2	5	4	2	14	1	3	2	2	2	2	1	1	2	4	11	2	1	6	2	19	0	1	3	2	3	10	2	2	1	0	2	9	2	5	9	1	10	0	1	5	0	3	3	1	1	7	10	0	1	6	0	9	1	3	7	1	2	0	11	11	0	1	0	1	2	1	0	5	1	7	4	7	6	0	18	0	11	4	0	2	1	3	3	0	9	2	7	1	2	1	0	3	2	4	2	0	1	0	8	4	4	1	4	10	1	0	6	4	0	2	1	4	2	0	0	4	1	3	4	1	12	1	13	4	1	3	2	6	4	5	0	3	1	0	0	3	2	9	0	2	2	1	1	2	3	1	3	2	8	1	0	1	1	3	0	1	2	2	3	0	3	2	5	5	5	1	0	1	3	5	6	3	11	6	0	1	0	1	1	10	3	4	0	1	1	2	0	9	4	1	8	0	5	0	3	1	0	1	7	0	1	2	11	22	3	2	0	5	1	3	4	3	2	1	3	0	9	2	0	0	1	2	2	5	1	0	4	5	0	2	6	5	0	4	0	0	1	0	4	7	0	4
Eug	2	5	4	0	0	7	1	4	1	1	3	4	0	5	1	2	2	1	2	1	2	4	3	5	0	7	0	3	3	4	4	0	2	2	1	3	2	2	2	6	9	3	2	3	1	1	4	0	4	0	2	10	1	2	0	0	1	3	0	6	3	0	3	0	0	1	0	3	1	2	11	2	3	2	0	0	6	2	2	0	2	2	1	3	1	1	0	3	3	2	2	1	1	3	0	1	0	2	2	11	2	4	1	3	2	1	1	4	1	1	2	1	4	2	2	4	15	1	6	0	9	2	1	0	2	1	4	1	0	4	1	7	10	3	3	1	1	0	0	1	0	1	2	1	0	5	1	11	0	1	1	1	1	0	1	0	3	5	0	3	0	7	1	1	0	5	0	3	1	1	0	1	0	2	1	0	3	4	2	2	1	1	1	0	1	4	1	0	0	1	2	3	2	0	0	1	1	2	0	2	1	0	2	2	1	0	1	0	1	3	1	0	0	4	1	0	0	8	4	7	0	2	4	0	1	15	0	2	0	0	1	1	1	1	2	1	1	2	0	4	0	1	2	0	0	4	5	2	0	0	0	0	2	1	0	1	1	1	0	0	8	1	4	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	6	1	1	1	4	2	2	0	0	1	0	3	0	0	0	1	2	0	1	0	1	1	1	0	0	2	2	2	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	2	0	0	5	4	0	2	22	1	6	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	1	1	1	2	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	2	1	0	1	0	0	1	2	7	0	2	0	4	0	0	2	0	0	1	0	0	0	0	1	0	0	1	5	1	0	2	0	0	0	2	0	0	2	0	2	1	0	1	0	0	1	3	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	1	2	0	0	0	0	0	3	4	1	0	3	1	0	0	3	0	1	2	3	0	1	0	2	1	0	2	1	1	1	1	0	2	8	0	0	0	0	4	2	2	1	1	0	0	7	0
Data Oracle	2	3	1	0	0	6	1	2	0	0	2	7	1	0	0	7	0	0	3	0	0	0	0	9	0	3	1	0	1	2	1	3	0	3	0	0	2	6	0	11	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	1	0	2	0	0	1	9	3	3	0	1	1	0	0	0	1	0	0	0	6	2	1	2	0	0	0	0	1	4	0	0	0	2	0	1	1	0	0	0	0	0	0	0	7	0	0	0	0	5	1	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	2	0	11	0	0	0	0	2	0	0	8	0	0	1	2	0	0	2	1	0	0	0	5	0	0	2	4	0	0	2	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	14	0	0	1	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	2	0	1	0	4	0	4	0	4	0	2	0	7	0	2	0	0	0	0	0	0	1	0	0	8	0	3	0	0	1	0	0	2	10	0	0	0	0	0	0	0	0	0	3	3	3	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	5	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	7	0	1	11	0	1	2	0	0	1	0	0	2	0	3	0	0	0	0	1	4	1	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	1	0	5	3	2	1	0	0	0	0	7	2	0	1	0	2	2	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	2	5	0	0	3	2	0	5	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	6	0	0	8	2	0	1	0	1	0	0	0	3	0	1	2	1	1	0	2	3	0	2	0	6	0	0	1	0	0	0	0	0	3	0	0	0	2	2	0	10	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	1	2	1
7th Annual Graphic Novels & Manga Challenge 2014	2	2	1	2	2	1	3	0	2	0	2	4	0	0	1	1	4	2	2	0	0	0	0	0	14	0	0	2	2	2	0	0	1	2	0	2	0	11	0	0	0	1	0	0	0	1	1	2	1	1	6	0	1	0	1	2	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	10	1	0	2	1	0	0	0	21	0	4	2	3	0	2	0	15	67	1	2	0	13	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	4	0	1	1	0	0	0	0	3	0	2	0	0	1	0	0	1	2	33	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	1	1	1	0	1	0	3	0	0	1	3	1	0	0	0	0	11	1	7	0	0	0	1	0	3	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	28	15	11	0	0	0	1	3	1	0	0	5	0	1	0	1	0	0	1	3	0	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	19	0	1	16	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	4	1	0	0	0	3	0	0	1	0	0	0	0	3	0	0	8	0	2	1	1	7	0	1	0	37	0	0	0	11	1	2	2	1	8	0	0	0	0	0	1	11	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	1	0	3	10	1	1	0	0	0	0	0	0
Comics, old time radio and other cool stuff	4	0	3	0	8	2	2	1	4	0	4	2	9	4	2	0	1	1	2	2	0	0	2	2	2	5	0	9	0	2	4	0	1	5	0	6	0	1	0	3	5	0	1	1	1	3	2	36	1	2	2	0	5	1	1	2	0	1	1	0	5	8	1	7	8	1	7	0	1	3	0	3	1	0	3	1	10	1	2	5	4	4	7	0	3	2	1	10	1	0	0	0	0	0	0	3	1	5	2	4	0	0	0	0	0	1	6	0	2	6	0	1	0	1	2	1	0	1	6	1	0	0	6	0	0	1	0	0	1	2	0	2	0	1	8	5	0	2	1	1	1	2	2	1	1	3	0	0	1	0	0	1	1	5	3	0	0	2	2	1	0	2	1	0	2	1	3	0	0	0	2	0	0	1	3	1	0	1	3	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	5	1	1	3	3	0	0	0	1	0	5	0	0	0	1	2	0	0	1	1	1	1	2	0	1	0	0	0	2	4	2	0	4	0	0	4	1	2	2	0	1	0	0	0	1	0	0	3	8	1	0	1	0	0	4	0	2	0	1	0	0	1	1	2	2	2	4	1	1	0	1	1	2	0	0	0	1	2	2	1	2	2	1	0	2	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	2	1	4	0	0	1	0	5	0	0	0	1	3	3	1	0	1	0	2	1	0	0	0	3	7	0	1	0	3	1	4	0	0	2	0	0	0	0	7	0	4	0	1	3	3	0	0	2	0	9	0	0	0	0	3	0	1	0	2	0	1	1	0	2	0	4	2	0	0	0	7	1	1	2	1	4	0	0	1	0	1	0	3	2	1	4	0	1	2	1	2	0	0	0	3	0	2	1	3	1	0	0	0	2	2	3	3	0	1	0	1	2	1	0	1	8	1	0	1	1	2	1	1	2	1	1	0	3	0	0	2	0	0	0	1	2	0	0	1	0	0	2	0	0	0	2	0	4	0	3	2	0	0	0	1	0	0	2	4	1	2	0	0	3	2	0	0	0	18	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	1	4	1	3	0	0	0	1	0	0	4
Daily Rantings	3	0	1	6	4	6	2	1	1	1	0	0	3	1	3	0	5	5	5	4	4	6	0	0	1	0	0	0	0	5	2	1	0	4	2	0	3	1	9	3	1	0	2	2	10	3	1	0	3	0	0	0	4	0	0	0	28	11	1	0	0	5	2	0	1	0	0	5	7	0	2	0	0	6	2	1	2	0	46	1	1	0	24	0	0	1	0	0	2	1	5	0	2	0	1	1	0	1	4	0	1	1	0	2	2	1	1	1	3	2	1	10	3	0	1	0	1	1	4	1	5	0	0	1	1	2	1	4	0	0	1	2	0	9	0	1	2	2	4	3	1	3	2	0	0	0	1	4	0	4	1	2	2	3	0	6	1	1	0	0	0	0	3	1	0	2	5	0	1	10	0	1	7	2	1	1	17	2	6	1	2	0	2	4	0	1	1	1	0	5	3	4	2	0	1	1	0	0	0	4	1	6	0	13	1	2	1	3	2	0	1	0	0	1	2	0	0	2	1	0	6	1	5	0	6	12	0	0	2	0	0	0	1	0	1	3	1	3	0	3	0	3	1	2	0	1	1	1	0	0	3	0	0	8	2	0	1	0	1	0	0	1	0	2	0	0	1	1	0	5	0	9	0	1	3	0	1	3	0	0	2	1	3	0	0	0	1	1	1	2	0	2	0	2	0	0	0	1	0	0	0	2	2	0	6	0	2	1	4	2	0	8	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	6	0	0	2	3	3	1	0	5	0	3	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	3	2	0	0	3	1	2	0	1	1	0	0	1	4	1	3	0	1	1	0	1	1	0	0	0	0	0	3	2	13	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	6	1	1	0	3	5	1	0	7	3	0	0	0	1	0	3	1	1	0	1	1	1	4	0	3	0	0	5	2	0	0	0	0	0	0	2	4	1	0	0	0
TUESDAY ARTBREAK	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	3	1	0	2	0	1	0	1	0	0	0	0	0	0	3	3	0	3	4	0	1	0	2	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	5	0	0	0	0	1	1	1	2	2	0	2	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	4	0	4	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	1	1	2	3	0	2	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	10	0	1	1	1	0	0	0	0	1	0	4	0	0	0	0	1	0	0	2	0	2	0	2	3	0	2	2	0	1	0	0	0	3	0	1	1	1	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	4	0	0	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	5	0	0	3	2	0	0	0	0	2	3	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0	1	0	0	0	0	0	0	1	0	0	1	6	0	0	1	0	0	0	1	2	0	0	7	1	0	0	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
The Ramblings of Faith	0	0	0	0	1	0	0	1	0	0	1	0	1	0	2	0	1	1	0	1	1	3	0	0	0	0	2	4	2	0	0	0	2	1	0	4	1	0	0	1	1	0	2	1	0	4	5	2	0	0	1	1	0	0	0	5	0	0	1	1	3	1	0	0	0	1	0	0	0	0	1	2	3	0	11	0	3	0	0	19	0	1	0	1	2	0	0	15	0	1	0	1	0	2	0	0	51	0	3	2	44	0	0	1	3	0	1	1	0	1	1	0	1	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	1	0	0	1	2	0	0	3	1	0	0	0	3	0	0	1	0	3	0	9	1	0	0	1	0	1	1	1	0	1	0	0	0	1	4	0	1	1	0	0	0	1	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	3	0	1	0	0	0	0	4	0	0	0	2	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	3	0	9	0	0	0	0	1	32	2	7	0	0	0	0	0	0	0	1	15	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	5	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	6	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Discovering the World: One Cup of Coffee at a Time	0	0	2	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	1	0	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	0	0	0	0	0	0	5	1	2	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
A Pair of Jeans	0	2	5	2	0	1	2	8	2	2	5	3	2	7	2	1	3	2	4	1	3	4	3	1	0	3	4	1	1	5	3	3	2	8	4	2	0	2	3	0	0	0	1	2	1	2	7	3	1	0	0	6	2	2	1	2	4	4	2	0	0	2	1	1	2	3	2	0	1	5	1	1	3	1	0	3	1	0	4	10	3	2	0	3	1	1	1	10	2	4	2	0	1	4	1	1	3	0	2	0	1	0	3	4	2	0	5	5	0	2	0	1	1	9	5	4	3	3	2	0	10	0	1	2	1	1	4	2	3	1	1	7	0	1	4	1	1	0	2	4	3	2	1	1	8	2	2	1	3	0	4	0	3	3	1	0	1	3	2	4	1	1	1	2	0	2	1	3	4	4	0	1	0	5	2	1	6	4	1	1	0	0	1	6	2	0	0	1	7	2	2	4	2	6	3	1	2	0	0	2	1	1	0	2	0	0	3	0	1	0	1	0	1	2	0	3	0	3	1	0	1	0	1	1	0	1	0	1	1	1	0	4	2	4	0	0	4	1	2	3	1	1	2	0	2	0	3	0	2	0	6	1	1	2	0	4	0	1	1	11	0	0	3	0	0	0	2	4	0	0	0	2	0	1	0	0	0	0	3	4	2	0	2	3	0	0	4	0	0	1	0	0	0	1	2	0	2	5	2	0	0	1	2	0	0	1	1	4	0	1	1	1	2	0	0	3	1	4	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	2	0	0	1	1	2	0	1	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	2	4	2	1	1	1	1	4	5	0	5	2	0	2	0	3	5	1	3	1	0	1	0	1	0	1	0	0	1	1	5	0	0	1	0	0	0	0	0	1	1	2	1	0	1	0	0	1	0	2	2	0	0	0	0	0	0	3	0	1	1	0	2	5	0	0	6	1	2	0	2	0	4	1	1	0	2	1	3	0	2	0	0	1	0	7	1	0	0	0	0	0	2	0	0	0	0	4	4	3	0	11	1	0	1	2	0	0	1	0	1	1	0	1	2	0	0	1	0	0	3	3	0	0	0	1	0	0	0	0
Recipes Schmecipes	7	0	2	0	0	0	0	1	0	0	2	2	0	0	0	0	2	0	0	3	0	0	1	1	8	0	0	0	0	1	1	1	1	2	0	0	0	0	1	3	1	0	0	1	0	0	1	2	0	0	0	1	0	1	0	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	3	0	0	0	1	2	3	0	0	1	0	3	0	0	3	0	1	0	0	0	1	0	1	0	0	3	0	0	0	0	0	3	0	4	0	0	0	0	0	2	0	0	9	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	3	0	1	1	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	2	1	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	5	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	2	0	0	4	0	0	0	1	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	2	0	2	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	4	0	1	0	0	1	0	0	2	15	1	0	1	3	0	1	2	0	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	2	0	0
the week-end	0	3	0	2	1	0	0	0	1	0	0	0	4	0	0	0	0	1	2	0	0	0	2	1	1	3	0	0	2	2	0	0	1	1	1	0	2	0	2	0	6	1	1	0	1	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	1	0	1	2	1	0	0	0	0	1	0	1	1	5	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	2	3	2	1	0	0	2	0	0	0	1	0	0	0	1	0	1	2	1	1	2	0	1	0	0	0	0	0	0	0	7	1	4	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	2	1	0	0	0	0	2	1	5	2	2	1	3	0	0	0	0	1	0	1	0	0	0	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	8	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	2	0	2	1	0	6	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	11	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	1	0
